Team,allAmerTeam,sosTeam,espnTeam,rivalsTeam,James,TR
Notre Dame (IN),Notre Dame,Notre Dame,Notre Dame,Notre Dame,Notre Dame,Notre Dame
Ohio,Ohio,Ohio,Ohio,Ohio,,Ohio
Ohio St.,Ohio State,Ohio State,Ohio State,Ohio State,Ohio State,Ohio State
Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma
Oklahoma St.,Oklahoma State,Oklahoma State,Oklahoma State,Oklahoma State,Oklahoma State,Oklahoma St
Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon
Oregon St.,Oregon State,Oregon State,Oregon State,Oregon State,,Oregon St
Penn St.,Penn State,Penn State,Penn State,Penn State,Penn State,Penn State
Pittsburgh (PA),Pittsburgh,Pittsburgh,Pittsburgh,Pittsburgh,Pittsburgh,Pittsburgh
Purdue (IN),Purdue,Purdue,Purdue,Purdue,,Purdue
Rice (TX),Rice,Rice,Rice,Rice,Rice,Rice
Rutgers (NJ),Rutgers,Rutgers,Rutgers,Rutgers,Rutgers,Rutgers
San Diego St. (CA),San Diego State,San Diego State,San Diego State,San Diego State,San Diego State,San Diego St
San Jose St. (CA),San Jose State,San Jose State,San Jose State,San Jose State,,San Jose St
South Alabama,,South Alabama,South Alabama,South Alabama,South Alabama,S Alabama
South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,S Carolina
South Florida,South Florida,South Florida,South Florida,South Florida,,S Florida
Southern California,Southern California,Southern California,USC,USC,USC,USC
Southern Methodist (TX),Southern Methodist,SMU,Southern Methodist,Southern Methodist,,S Methodist
Southern Mississippi,Southern Mississippi,Southern Mississippi,Southern Miss,Southern Miss,,S Mississippi
Stanford (CA),Stanford,Stanford,Stanford,Stanford,Stanford,Stanford
Syracuse (NY),Syracuse,Syracuse,Syracuse,Syracuse,,Syracuse
Temple (PA),Temple,Temple,Temple,Temple,,Temple
Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee
Texas,Texas,Texas,Texas,Texas,Texas,Texas
Texas-El Paso,UTEP,UTEP,UTEP,UTEP,UTEP,TX El Paso
Texas-San Antonio,,Texas-San Antonio,UTSA,,,TX-San Ant
Texas A&M,Texas A&M,Texas A&M,Texas A&M,Texas A&M,Texas A&M,Texas A&M
Texas Christian,TCU,TCU,TCU,TCU,TCU,TX Christian
Texas St.,,Texas State,Texas State,Texas State,,Texas State
Texas Tech,Texas Tech,Texas Tech,Texas Tech,Texas Tech,,Texas Tech
Toledo (OH),Toledo,Toledo,Toledo,Toledo,Toledo,Toledo
Troy (AL),,Troy,Troy,Troy,,Troy
Tulane (LA),Tulane,Tulane,Tulane,Tulane,,Tulane
Tulsa (OK),Tulsa,Tulsa,Tulsa,Tulsa,,Tulsa
UCLA,UCLA,UCLA,UCLA,UCLA,UCLA,UCLA
Utah,Utah,Utah,Utah,Utah,Utah,Utah
Utah St.,Utah State,Utah State,Utah State,Utah State,Utah State,Utah State
Vanderbilt (TN),Vanderbilt,Vanderbilt,Vanderbilt,Vanderbilt,,Vanderbilt
Virginia,Virginia,Virginia,Virginia,Virginia,,Virginia
Virginia Tech,Virginia Tech,Virginia Tech,Virginia Tech,Virginia Tech,Virginia Tech,VA Tech
Wake Forest (NC),Wake Forest,Wake Forest,Wake Forest,Wake Forest,,Wake Forest
Washington,Washington,Washington,Washington,Washington,Washington,Washington
Washington St.,Washington State,Washington State,Washington State,Washington State,,Wash State
West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,W Virginia
Western Kentucky,Western Kentucky,Western Kentucky,Western Kentucky,Western Kentucky,Western Kentucky,W Kentucky
Western Michigan,Western Michigan,Western Michigan,Western Michigan,Western Michigan,Western Michigan,W Michigan
Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin
Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,,Wyoming
